IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19120365,10/1/2024,LOJA B,309,Produto 31,Grupo 3,"R$ 5,99","R$ 3,16",3
19120365,10/1/2024,LOJA B,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19120410,10/1/2024,LOJA A,1685,Produto 292,Grupo 4,"R$ 4,00","R$ 3,68",1
19120792,10/1/2024,LOJA B,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19120881,10/1/2024,LOJA A,309,Produto 31,Grupo 3,"R$ 2,00","R$ 1,05",1
19121093,10/1/2024,LOJA B,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19121138,10/1/2024,LOJA B,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19121170,10/1/2024,LOJA A,1958,Produto 297,Grupo 4,"R$ 4,17","R$ 3,86",1
19121202,10/1/2024,LOJA B,1655,Produto 208,Grupo 10,"R$ 1,17","R$ 0,66",1
19121202,10/1/2024,LOJA B,9112,Produto 299,Grupo 10,"R$ 2,00","R$ 0,89",1
19121202,10/1/2024,LOJA B,1923,Produto 272,Grupo 5,"R$ 1,17","R$ 0,65",1
19121202,10/1/2024,LOJA B,144,Produto 159,Grupo 13,"R$ 1,33","R$ 0,22",1
19121214,10/1/2024,LOJA A,1655,Produto 208,Grupo 10,"R$ 1,17","R$ 0,67",1
19121214,10/1/2024,LOJA A,3124,Produto 18,Grupo 3,"R$ 2,17","R$ 1,28",1
19121214,10/1/2024,LOJA A,119,Produto 92,Grupo 11,"R$ 2,00","R$ 0,83",1
19121340,10/1/2024,LOJA A,1580,Produto 305,Grupo 18,"R$ 4,33","R$ 2,21",1
19121340,10/1/2024,LOJA A,1783,Produto 306,Grupo 5,"R$ 1,17","R$ 0,65",1
19121457,10/1/2024,LOJA B,8218,Produto 307,Grupo 5,"R$ 4,00","R$ 2,17",1
19121522,10/1/2024,LOJA B,3025,Produto 162,Grupo 14,"R$ 2,33","R$ 1,27",1
19121594,10/1/2024,LOJA B,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19121687,10/1/2024,LOJA A,1782,Produto 310,Grupo 4,"R$ 5,00","R$ 4,60",2
19121687,10/1/2024,LOJA A,1576,Produto 177,Grupo 6,"R$ 1,66","R$ 0,66",1
19121688,10/1/2024,LOJA B,1655,Produto 208,Grupo 10,"R$ 2,33","R$ 1,32",2
19121875,10/1/2024,LOJA B,1917,Produto 313,Grupo 5,"R$ 1,17","R$ 0,54",1
19121875,10/1/2024,LOJA B,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19121892,10/1/2024,LOJA B,144,Produto 159,Grupo 13,"R$ 0,00","R$ 0,22",1
